year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District_of_Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North_Carolina,North_Dakota,Nebraska,New_Hampshire,New_Jersey,New_Mexico,Nevada,New_York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West_Virginia,Wyoming
1960,7.189,395.4,0.356,0.21,35.903,68.206,101.694,27.792,20.496,27.176,88.95,0,115.945,16.845,914.648,794.942,15.724,286.738,0,118.745,226.566,20.408,653.141,131.265,170.906,0.753,3.999,231.342,30.531,20.01,5.39,168.775,4.064,3.962,691.728,1269.205,1.826,8.943,1530.508,16.754,96.414,6.707,374.478,24.974,90.967,316.395,3.507,15.231,304.624,354.418,15.763
1961,11.552,382.455,0.275,0.211,59.106,76.938,107.54,25.77,20.776,36.267,90.769,0,104.513,17.103,899.157,798.09,13.478,288.113,0.001,120.459,230.214,19.505,637.466,130.948,158.523,0.655,5.149,244.241,30.011,18.164,12.308,193.959,3.303,3.74,634.013,1159.286,1.452,9.42,1431.872,15.116,103.498,6.273,354.174,18.203,81.964,328.073,3.906,15.709,307.795,386.4,20.1
1962,13.559,427.177,0.16,6.291,39.681,79.296,112.064,22.437,22.586,39.644,87.199,0,114.293,18.028,912.473,785.052,14.595,287.376,0,119.907,252.31,17.821,695.978,131.206,180.52,0.708,5.67,260.487,28.384,23.047,12.33,195.944,2.451,4.218,620.891,1229.713,1.072,8.805,1477.609,14.953,108.5,6.725,347.17,20.582,65.575,345.482,3.019,15.652,310.326,391.87,23.749
1963,11.999,442.465,0.135,8.432,46.127,88.958,117.384,18.598,26.494,43.281,115.509,0,116.201,16.589,912.344,815.496,16.716,368.036,0.002,115.969,275.328,12.541,758.97,138.716,180.67,0.763,5.372,282.911,24.937,24.513,11.52,193.035,15.765,3.387,643.946,1243.806,1.685,7.455,1538.471,13.308,118.239,6.221,386.275,19.173,62.411,360.181,3.352,13.194,319.255,438.083,30.292
1964,12.029,459,0.186,9.103,53.723,89.6,120.798,18.111,29.241,46.691,123.813,0,112.797,18.234,944.485,860.401,14.827,401.711,0.001,123.421,300.629,8.082,780.945,156.354,183.42,0.729,5.811,295.013,26.502,23.65,11.755,206.555,31.271,3.234,739.638,1272.289,1.035,6.833,1699.047,11.022,108.707,5.539,336.101,26.232,71.031,370.395,2.73,11.827,333.408,467.21,32.379
1965,9.888,533.142,0.163,7.03,63.693,98.117,128.613,13.804,29.03,55.189,152.6,0,126.638,15.863,1014.492,900.562,15.282,415.492,0,127.922,327.393,7.992,830.191,159.987,189.62,1.02,5.537,325.866,24.746,20.815,11.171,236.647,44.277,7.892,755.238,1324.406,0.697,7.11,1751.318,11.461,121.474,5.652,338.853,29.182,75.449,386.296,2.707,12.134,347.925,477.365,34.454
1966,16.431,583.457,0.111,7.373,51.515,109.021,136.198,23.936,38.69,70.146,177.237,0,125.4,14.867,1072.076,967.518,13.68,426.294,0,112.103,339.046,7.401,897.159,171.398,190.661,0.898,5.805,380.312,36.034,19.748,9.655,236.575,37.029,10.862,731.385,1420.418,0.695,6.521,1746.453,10.581,132.867,5.239,363.659,27.844,79.119,386.377,2.198,11.134,370.695,520.023,41.45
1967,18.462,580.163,0.104,7.184,53.949,107.862,109.548,22.6,40.712,96.16,165.942,0,120.832,13.401,1030.722,930.848,12.231,434.203,0,101.438,350.715,5.618,870.628,161.175,188.991,0.962,5.484,405.418,44.028,18.303,10.247,198.642,44.143,9.379,726.567,1405.472,0.567,4.802,1701.151,6.545,134.348,5.553,351.99,23.523,72.396,369.977,2.059,8.265,360.809,543.103,39.826
1968,15.998,618.335,0.132,8.137,57.011,112.995,82.43,23.692,44.082,103.172,194.909,0,120.036,11.552,1006.199,961.526,12.74,444.142,0,87.696,362.795,4.592,933.607,150.563,212.261,7.317,6.719,446.588,48.467,17.192,22.297,188.734,42.971,14.582,700.146,1478.634,0.465,3.898,1725.89,3.297,123.989,5.218,439.263,24.996,73.92,383.807,1.884,6.977,356.191,601.879,43.608
1969,13.191,641.466,0,8.381,60.031,104.487,59.211,32.544,41.72,104.1,202.716,0,127.011,9.853,1012.703,996.123,9.771,470.838,0,60.429,355.397,4.272,908.86,191.156,244.51,14.757,9.648,472.767,49.996,27.082,26.956,141.206,50.226,16.679,656.531,1556.077,0.144,3.95,1628.975,0.242,131.995,5.503,436.716,25.141,78.445,328.714,2.074,7.065,373.891,624.054,55.566
