year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District_of_Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North_Carolina,North_Dakota,Nebraska,New_Hampshire,New_Jersey,New_Mexico,Nevada,New_York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West_Virginia,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,61.434,866.851,426.405,283.075,3451.501,424.768,508.131,119.872,156.707,809.836,701.562,94.855,602.393,190.689,2527.178,1531.067,631.796,824.167,1509.592,1054.221,697.377,232.345,1851.832,723.332,899.995,405.348,227.499,826.737,159.507,307.992,112.173,1302.822,328.883,91.161,2989.143,2995.302,581.454,470.788,3253.583,187.092,489.314,128.864,962.716,4438.686,303.274,851.397,68.59,807.326,854.705,618.085,141.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,72.174,831.574,432.03,304.873,3610.724,461.946,518.268,118.176,150.651,848.978,706.226,113.772,600.462,202.896,2562.301,1551.659,618.593,819.931,1572.683,1080.062,700.033,244.91,1876.863,728.507,898.823,411.792,241.726,859.225,154.871,315.065,119.951,1362.662,340.487,104.971,3093.946,2899.387,583.284,485.255,3146.474,172.917,507.192,131.593,978.207,4471.219,300.854,854.711,71.983,823.406,877.371,648.779,154.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,78.813,881.582,457.213,324.948,3725.916,468.555,536.794,120.459,162.273,949.692,765.534,108.306,626.989,211.209,2659.812,1581.586,639.952,837.57,1588.806,1112.029,748.501,237.92,1985.381,766.93,939.955,438.747,248.319,903.059,164.97,327.525,128.249,1461.863,376.499,113.119,3238.653,3037.198,692.629,509.522,3255.865,180.878,540.258,136.674,1015.673,4666.199,310.361,883.813,74.826,860.093,918.24,656.413,173.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,80.788,913.539,485.089,348.343,3925.66,466.131,545.442,121.016,173.152,994.7,803.621,114.308,644.807,213.35,2723.285,1635.716,641.606,889.549,1756.472,1083.397,775.444,241.444,2072.876,775.933,954.454,473.778,252.561,930.431,170.76,335.133,133.718,1502.327,370.877,123.387,3306.071,3114.95,769.321,527.336,3391.502,180.623,561.175,140.456,1062.306,4921.259,311.851,939.833,74.629,900.653,940.426,689.768,163.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,85.067,979.643,527.688,369.697,4221.395,498.252,563.712,132.268,173.552,1049.84,857.725,123.481,670.01,230.469,2853.253,1715.404,657.588,891.616,1876.431,1119.766,823.905,242.748,2140.646,816.299,989.411,513.844,263.855,967.443,172.105,347.201,133.12,1539.593,366.313,133.765,3382.264,3216.173,803.333,578.517,3589.424,178.175,560.697,143.82,1088.612,5042.973,334.563,969.429,72.087,961.491,975.114,729.171,163.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,87.781,1044.971,529.133,375.254,4387.443,508.906,569.706,159.17,184.691,1111.764,917.78,130.589,697.362,234.793,3030.575,1799.062,724.161,901.019,1843.331,1245.398,860.051,232.211,2278.624,865.62,1043.155,512.033,258.879,1000.841,169.488,348.715,131.286,1570.997,353.676,130.208,3664.836,3369.966,774.957,591.841,3732.472,173.506,554.461,140.097,1137.525,5244.514,339.527,1046.197,83.116,996.505,1030.827,754.149,172.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,102.698,1088.594,566.462,403.499,4647.09,532.133,609.518,169.526,192.954,1180.501,998.188,145.505,699.406,245.125,3189.994,1920.148,764.078,907.302,1984.862,1248.142,900.436,244.303,2430.563,922.467,1102.479,566.82,275.687,1090.025,180.871,389.315,144.804,1669.15,376.423,144.961,3867.361,3540.777,745.521,630.449,3832.427,175.307,593.592,146.408,1231.693,5590.968,350.852,1117.085,90.955,1059.018,1092.31,771.733,180.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,115.172,1138.614,596.758,414.505,4841.294,555.507,624.146,182.216,187.643,1223.757,1062.891,163.868,747.655,266.759,3315.785,1952.147,722.961,954.219,2238.323,1326.51,915.543,256.816,2490.898,929.428,1132.508,580,260.382,1138.029,185.112,385.236,149.533,1768.51,407.788,150.717,3955.854,3544.106,763.582,646.404,3816.18,193.453,603.111,145.671,1236.066,5884.256,345.271,1137.209,94.564,1112.766,1137.128,739.871,205.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,122.532,1246.729,635.446,456.162,5115.522,622.808,648.817,181.89,206.991,1349.486,1154.138,182.801,782.037,287.259,3451.757,2043.557,793.944,1014.453,2424.458,1373.646,969.025,271.199,2627.352,991.513,1211.277,645.589,280.484,1211.187,191.978,422.77,159.472,1841.318,436.394,163.4,4052.487,3710.254,843.635,691.621,3959.414,197.94,654.397,153.325,1284.605,6275.726,365.626,1197.552,100.5,1210.24,1184.187,807.507,225.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,156.633,1343.234,681.147,498.204,5357.405,648.93,667.714,195.629,219.576,1453.825,1228.336,190.89,822.106,286.795,3635.972,2157.196,839.491,1073.719,2704.622,1402.451,1024.006,288.294,2734.316,1081.972,1265.666,684.917,314.319,1281.143,192.573,455.958,176.23,1896.602,429.258,177,4200.71,3856.358,886.584,733.068,3982.272,210.71,699.241,159.813,1340.797,6665.515,395.844,1237.262,106.593,1296.17,1248.434,796.709,250.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
