year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District_of_Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North_Carolina,North_Dakota,Nebraska,New_Hampshire,New_Jersey,New_Mexico,Nevada,New_York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West_Virginia,Wyoming
1960,21.554,474.229,289.353,36.737,2630.898,481.962,17.406,0.155,4.982,37.861,96.116,0.292,37.943,77.688,1526.429,441.137,1361.353,1846.57,5565.958,53.748,61.535,59.784,174.4,34.957,102.979,526.044,289.631,127.507,197.457,169.409,25.629,20.514,1562.831,22.267,204.924,901.866,2072.617,190.489,2391.326,2.951,81.969,15.866,287.803,12066.646,389.446,824.357,17.339,431.849,64.968,3237.864,1018.174
1961,56.144,474.779,291.267,35.506,2619.763,478.706,17.076,0.163,5.101,36.626,94.691,0.258,34.859,70.403,1506.491,427.978,1365.016,1730.648,6007.809,62.7,58.541,56.575,195.592,32.478,107.617,542.566,301.703,120.692,214.048,172.537,23.327,20.749,1583.834,20.439,266.311,862.418,2143.063,188.915,2261.652,3.011,76.284,15.196,283.981,12216.11,373.46,887.666,15.369,458.873,60.619,3092.315,1087.858
1962,82.748,484.726,282.278,35.003,2692.241,442.497,15.937,0.166,5.134,38.296,96.771,0.214,38.919,73.984,1599.502,444.556,1417.765,1874.012,6581.864,61.608,59.31,55.672,185.195,34.382,101.804,545.284,299.975,127.402,228.115,174.716,25.119,21.199,1587.29,22.551,292.252,909.007,2379.788,197.646,2301.652,3.139,73.455,18.232,301.33,12365.936,360.005,864.865,15.682,480.508,61.695,3228.661,1067.967
1963,87.933,469.03,284.577,36.668,2844.513,429.258,16.253,0.148,5.356,41.352,103.171,0.446,38.456,73.227,1645.044,429.887,1447.469,2072.411,7235.86,63.943,66.539,58.874,181.944,32.337,100.752,563.432,290.384,116.481,234.514,156.016,24.45,23.397,1618.611,20.488,280.859,973.973,2557.794,199.225,2498.46,3.221,69.832,33.031,280.926,12702.692,377.93,890.108,13.995,517.358,55.114,3577.658,1130.588
1964,90.198,541.265,281.398,36.786,2832.818,432.641,16.703,0.138,5.51,42.667,118.296,1.429,32.894,76.892,1688.972,424.814,1470.641,2214.547,7701.57,68.314,67.606,55.936,180.592,33.879,100.407,556.844,292.485,131.745,248.232,137.751,23.707,23.947,1741.976,19.321,266.024,1043.677,2660.244,215.793,2589.342,3.533,88.026,35.078,292.122,13132.738,365.59,920.711,13.5,558.451,54.98,3798.034,1123.349
1965,94.316,532.433,287.622,53.947,3009.455,445.898,15.5,0.12,5.577,48.554,108.022,1.265,36.702,79.778,1727.688,436.816,1489.608,2288.077,8274.69,67.043,70.063,51.675,181.788,36.48,111.172,537.504,324.676,123.608,260.71,125.858,22.019,23.693,1844.925,18.756,284.204,1074.454,2666.433,230.41,2634.472,3.561,78.226,42.866,285.439,13328.85,345.64,987.837,14.396,582.426,61.69,3999.564,1126.993
1966,117.44,516.645,304.029,62.173,3166.243,466.858,16.243,0.111,5.852,53.484,109.456,1.309,36.164,81.379,1835.476,472.286,1537.89,2454.266,9395.65,70.69,73.745,55.812,181.483,36.529,109.212,521.412,338.565,114.335,283.817,106.179,24.343,23.57,1936.081,21.412,310.674,1165.689,2817.147,232.649,2621.381,3.771,68.551,53.056,287.103,14016.114,326.913,1030.13,15.557,629.703,60.892,4015.516,1120.354
1967,206.393,566.875,293.202,74.733,3339.208,453.052,24.128,0.112,5.783,53.813,109.475,1.389,32.48,82.252,1845.087,504.437,1537.933,2634.794,10655.659,72.89,83.166,58.337,178.89,34.01,110.162,511.113,337.515,118.616,282.336,101.303,24.089,23.695,2040.912,20.603,330.339,1219.004,2920.01,243.11,2555.545,4.15,66.271,54.57,318.963,14637.661,298.514,1058.43,15.167,702.293,61.003,4117.789,1124.539
1968,421.678,577.176,344.724,83.935,3406.817,449.294,52.598,0.12,6.594,58.252,106.371,1.657,34.337,80.804,1771.621,491.358,1474.576,2637.782,11656.74,75.857,85.262,59.84,181.329,33.994,107.156,516.724,413.358,117.146,282.879,100.658,25.155,24.678,2166.443,20.714,346.053,1285.783,2870.055,271.743,2441.04,4.266,69.381,60.912,336.718,15074.078,295.325,1066.326,15.086,783.235,65.83,3946.521,1185.859
1969,499.135,604.556,349.798,83.154,3520.912,425.728,59.867,0.108,7.073,61.597,105.812,1.773,33.9,76.228,1788.755,523.314,1492.823,2817.462,12684.144,77.225,81.141,61.658,172.043,34.19,109.822,544.237,427.227,119.495,267.375,92.9,27.816,26.536,2159.609,20.064,365.937,1361.204,3044.3,350.23,2477.57,4.428,73.251,68.335,335.115,15583.033,303.756,1031.54,16.109,814.247,62.804,3830.045,1322.803
