year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District_of_Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North_Carolina,North_Dakota,Nebraska,New_Hampshire,New_Jersey,New_Mexico,Nevada,New_York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West_Virginia,Wyoming
1960,2.034,190.706,222.202,140.275,1301.826,194.963,29.449,12.951,9.351,142.9,188.46,0,193.688,22.776,536.127,219.758,373.664,153.807,1003.771,80.612,73.315,0,382.98,186.121,270.074,187.874,57.638,47.032,27.356,140.43,2.952,144.132,207.301,12.883,434.127,724.824,319.27,31.941,540.094,12.253,60.581,25.392,151.74,2815.483,72.441,68.431,0,67.207,93.792,155.554,52.828
1961,2.3,191.533,215.311,159.093,1400.174,210.872,31.424,13.721,9.708,148.894,186.255,0,211.826,24.808,576.551,248.273,364.02,156.328,1064.61,84.63,76.52,0,422.582,199.324,284.094,190.591,61.314,52.291,29.31,144.566,3.124,159.189,218.948,16.419,450.63,746.456,316.051,35.011,547.651,13.227,63.06,26.724,166.703,2831.993,79.168,73.034,0,72.805,117.658,168.291,59.326
1962,4.048,201.25,235.477,163.461,1483.423,202.31,33.355,14.742,14.999,162.843,199.38,0,221.026,26.709,624.035,281.781,373.666,163.826,1050.301,92.131,84.796,0,459.179,221.625,299.614,199.391,65.68,58.346,32.045,149.324,3.431,180.307,247.09,18.141,491.055,784.63,416.403,39.19,568.742,14.277,73.118,28.372,173.967,2959.563,87.938,79.884,0,84.281,141.294,159.207,61.189
1963,5.567,211.348,252.846,169.533,1623.37,180.366,35.575,15.335,17.082,179.441,195.667,0,220.538,28.366,655.743,297.815,367.759,173.508,1128.773,99.924,89.004,0,470.503,218.609,309.136,222.937,66.566,64.539,32.283,145.771,3.607,197.097,239.911,20.681,520.712,826.138,490.988,46.731,609.513,15.343,78.478,25.084,179.197,3044.428,88.494,86.24,0,93.433,156.163,163.925,55.041
1964,6.805,230.316,278.852,174.623,1817.241,205.251,38.627,16.266,17.826,189.595,215.579,0,244.609,33.014,737.326,333.685,391.306,179.666,1201.445,108.193,94.255,0,505.78,236.502,332.023,250.528,69.486,70.932,33.39,160.545,3.817,209.714,226.697,25.579,527.89,852.659,522.805,57.979,632.666,16.145,82.101,27.528,191.178,3040.492,99.071,91.963,0,113.935,173.946,172.374,55.437
1965,7.67,236.949,277.661,166.063,1813.213,204.483,41.72,17.315,18.742,191.669,219.774,0,249.988,36.092,778.662,357.502,440.802,176.734,1156.449,115.712,100.979,0,563.563,248.244,347.967,250.626,70.795,78.245,32.437,164.719,4.133,219.196,224.253,29.395,558.658,909.391,480.079,59.99,652.906,17.036,90.513,26.884,211.142,3181.456,99.81,98.615,0,116.216,204.093,176.111,54.805
1966,12.282,240.755,289.632,174.448,1982.305,207.693,48.744,17.611,19.845,220.568,243.089,0,244.028,38.992,868.621,399.896,481.093,152.219,1245.597,117.709,102.826,0.522,626.782,265.81,357.396,284.5,72.116,89.442,31.864,195.864,4.197,236.816,247.39,36.305,645.684,975.841,449.319,69.324,702.888,17.385,100.873,28.256,236.752,3404.262,95.74,125.287,0.906,124.827,229.393,179.195,62.891
1967,11.889,262.055,295.756,169.085,2048.734,210.209,50.826,21.923,21.948,234.326,265.271,0,278.58,35.929,979.649,434.632,446.454,197.083,1440.39,129.884,121.287,0.775,699.131,285.35,367.195,288.65,64.908,100.822,32.049,187.907,4.522,261.542,280.382,36.822,602.67,994.595,460.163,73.999,701.546,19.251,104.561,27.846,241.965,3638.596,97.068,119.364,1.374,135.245,253.737,157.423,69.619
1968,17.636,296.69,321.569,189.965,2187.26,253.481,54.053,22.957,25.069,286.653,295.289,0,303.746,40.387,1027.219,454.467,490.591,201.137,1539.75,133.913,129.702,0.819,711.046,315.017,372.856,319.377,62.835,117.794,33.317,202.938,4.208,278.43,286.329,39.177,653.282,1018.464,507.884,83.504,741.6,21.574,132.104,28.959,243.425,3836.859,101.626,125.708,1.674,148.065,278.56,189.957,75.649
1969,42.94,310.822,349.99,210.332,2189.883,268.895,58.405,25.229,26.949,326.855,324.94,0,325.026,42.389,1121.21,531.512,540.66,240.05,1784.11,138.632,147.72,1.139,788.222,328.944,406.671,333.993,78.205,140.204,32.944,209.613,5.826,316.113,276.591,46.7,698.046,1063.953,558.754,92.598,791.217,23.503,145.896,33.995,257.524,4024.717,110.888,132.739,2.391,153.481,324.186,176.295,96.068
