year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District_of_Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North_Carolina,North_Dakota,Nebraska,New_Hampshire,New_Jersey,New_Mexico,Nevada,New_York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West_Virginia,Wyoming
1960,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,2.958,0,0,0,0,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.674,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0.055,0,0,0,0,0,0,0,0,0,6.144,0,0,0,0,9.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.548,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0.084,0,0,0,0,0,0,0,0,0,13.87,0,0,0,0,8.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706,0,0,0,3.717,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,2.288,0,0,0,0,0,0,0,0,0,11.093,0,0,0,0,11.181,0,0,1.453,0.008,0,0,0,0,0,0.886,0,0,0,0,7.017,0,0,0,4.221,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,4.369,0,0,0,0,0,0,0,0,0,11.71,0,0,0,0,14.166,0,0,2.293,0.669,0,0,0,0,0,1.082,0,0,0,0,4.555,0.207,0,0,0.301,0,0.468,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,3.193,0,0,0,0,0,0,0,0,0,11.393,0,0,0,0,11.407,0,0,2.132,1.693,0,0,0,0,0,-0.064,0,0,0,0,8.585,0.255,0,0,3.691,0,0.88,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,1.895,0,0,0,0,0,0,0,0,0,16.358,0,0,0,0,12.572,0,0,3.983,1.498,0,0,0,0,0,0,0,0,0,0,9.274,0.017,0,0,6.107,0,0.852,0.105,0,0,0,0,0,11.497,0,0,0
1967,0,0,0,0,6.503,0,6.056,0,0,0,0,0,0,0,9.325,0,0,0,0,14.707,0,0,5.801,1.624,0,0,0,0,0,0,0,0,0,0,13.321,0,0,0,6.968,0,0.094,0.77,0,0,0,0,0,23.287,0,0,0
1968,0,0,0,0,17.003,0,33.941,0,0,0,0,0,0,0,10.38,0,0,0,0,13.757,0,0,4.808,0.167,0,0,0,0,0,0,0,0,0,0,12.131,0,0,0,5.286,0,0,-0.03,0,0,0,0,0,44.091,0,0,0
1969,0,0,0,0,27.127,0,40.166,0,0,0,0,0,0,0,9.111,0,0,0,0,12.614,0,0,4.426,0,0,0,0,0,0,0,0,1.182,0,0,14.042,0,0,0,4.579,0,0,0,0,0,0,0,0,40.475,0,0,0
1970,0,0,0,0,34.375,0,39.567,0,0,0,0,0,0,0,27.6,0,0,0,0,13.272,0,0,4.113,0,0,0,0,0,0,0,0,37.917,0,0,46.908,0,0,0,5.102,0,0.076,0,0,0,0,0,0,28.693,1.725,0,0
1971,0,0,0,0,38.137,0,84.173,0,0,0,0,0,0,0,47.396,0,0,0,0,15.554,0,0,4.2,15.106,0,0,0,0,0,0,0,41.455,0,0,70.67,0,0,0,4.823,0,26.162,0,0,0,0,0,0,27.667,37.596,0,0
1972,0,0,0,0,34.266,0,83.932,0,0,0.713,0,0,0,0,141.019,0,0,0,0,16.179,0,0.586,22.935,38.405,0,0,0,0,0,0,0,47.008,0,0,69.775,0,0,0,3.112,0,52.11,0,0,0,0,4.836,1.828,31.5,35.547,0,0
1973,0,3.425,0,0,28.689,0,46.911,0,0,51.038,0,0,0,0,218.614,0,0,0,0,55.829,0,36.54,32.49,35.654,0,0,0,0,0,6.536,0,39.087,0,0,78.793,0,0,0,3.941,0,67.229,0,0,0,0,74.765,17.422,48.321,64.894,0,0
1974,0,70.195,4.024,0,41.277,0,88.951,0,0,87.919,0.487,0,14.842,0,218.667,0,0,0,0,32.196,0,39.893,4.641,48.695,0,0,0,0,0,44.596,0,41,0,0,103.49,0,0,0,78.108,0,123.406,0,0,0,0,66.437,27.708,43.409,92.144,0,0
1975,0,29.978,53.676,0,66.855,0,89.59,0,0,92.177,34.063,0,25.235,0,245.76,0,0,0,0,41.636,48.307,49.586,79.031,107.372,0,0,0,15.477,0,65.153,0,34.645,0,0,144.387,0,0,0.023,174.766,0,214.291,0,0,0,0,98.782,39.22,36.432,113.356,0,0
