year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District_of_Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North_Carolina,North_Dakota,Nebraska,New_Hampshire,New_Jersey,New_Mexico,Nevada,New_York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West_Virginia,Wyoming
1960,45.411,236.266,148.486,121.426,1838.493,161.913,362.362,59.884,124.241,612.186,301.981,94.563,285.365,73.671,1105.175,601.286,252.897,201.349,474.366,804.152,353.293,152.355,713.539,381.584,403.712,142.675,107.011,419.196,101.742,136.156,83.397,956.495,107.067,54.547,1700.158,797.298,255.228,212.656,1121.239,153.634,219.299,86.207,228.339,1558.527,127.596,442.354,46.659,356.855,392.571,126.836,75.638
1961,51.009,232.625,160.279,126.812,1894.593,174.84,365.707,56.136,117.729,634.578,298.805,113.514,277.087,77.701,1105.791,593.798,253.844,200.263,477.643,824.032,348.291,168.353,715.934,375.005,403.214,142.508,116.849,441.303,96.759,138.496,88.33,969.969,107.473,62.185,1817.764,771.119,258.279,218.535,1101.426,136.95,222.298,87.111,236.612,1579.111,126.745,429.629,50.504,363.095,390.961,132.084,81.379
1962,53.752,239.73,166.628,135.778,1881.127,183.877,378.894,58.579,123.28,715.842,328.322,108.092,285.179,81.115,1120.08,603.936,264.661,224.006,498.286,844.126,369.798,163.757,739.395,391.381,420.625,155.71,120.133,462.956,104.692,141.55,94.835,1040.276,115.131,67.694,1883.814,806.419,273.667,228.752,1146.496,142.2,241.166,90.422,254.045,1659.393,136.678,441.857,52.518,373.278,404.597,139.429,90.873
1963,55.429,252.175,173.387,144.282,1917.713,190.14,380.282,60.51,128.458,735.391,343.718,113.862,291.384,79.29,1150.577,615.943,269.518,229.383,588.217,810.169,374.135,168.92,752.371,398.146,430.814,173.733,121.282,467.598,110.277,151.333,99.018,1063.943,118.321,71.673,1902.877,822.055,283.944,235.405,1175.103,140.227,245.367,94.779,263.45,1840.141,136.231,468.792,52.543,379.914,411.174,130.107,86.506
1964,58.13,257.078,184.692,147.509,2029.231,195.697,389.937,70.176,125.899,771.063,360.334,122.052,291.863,84.097,1167.173,620.931,263.196,235.845,636.956,838.679,391.729,177.078,762.926,401.736,437.226,181.308,123.37,474.042,109.678,147.264,97.171,1080.593,126.256,75.68,1888.654,858.925,286.822,249.238,1194.277,135.088,231.665,94.675,273.798,1963.858,136.717,479.267,49.592,393.192,410.982,130.69,85.529
1965,61.705,262.263,179.391,145.778,2091.54,198.72,387.113,92.33,134.132,822.958,391.005,129.324,294.532,86.858,1221.031,648.095,277.373,257.214,647.367,956.456,410.386,171.463,791.968,424.437,462.059,174.663,110.731,495.017,106.979,140.64,96.328,1073.471,128.472,69.91,2109.614,918.411,294.996,248.298,1246.407,127.481,224.611,90.021,291.508,1995.577,142.254,513.665,58.935,405.844,412.558,137.163,86.641
1966,65.658,272.839,194.913,159.259,2221.47,212.63,412.659,93.935,135.912,843.971,414.108,144.196,318.402,87.995,1236.52,659.971,279.915,283.141,706.264,969.544,432.689,180.181,824.911,450.691,476.567,185.72,118.314,536.095,112.616,151.512,108.45,1153.554,126.788,72.023,2221.058,940.98,304.309,262.961,1285.478,127.174,243.318,93.522,325.979,2112.436,154.303,534.048,64.331,432.316,430.696,140.988,82.236
1967,76.363,277.389,200.052,167.967,2251.968,231.749,445.975,102.383,125.957,847.274,454.192,162.479,331.081,104.399,1283.911,657.398,282.101,293.02,752.397,1042.416,412.962,193.5,845.674,433.085,494.895,207.905,111.585,547.155,116.518,158.865,112.069,1252.689,126.006,75.858,2354.7,949.86,313.674,262.508,1308.691,147.511,245.409,92.616,332.985,2180.87,151.597,556.005,63.739,447.73,459.146,140.801,95.14
1968,80.412,306.623,219.881,188.628,2404.081,251.377,485.962,108.713,134.673,916.532,488.806,181.145,341.384,110.717,1381.752,701.592,300.365,319.65,823.193,1084.097,439.144,204.216,899.74,471.756,544.142,234.586,124.371,565.379,122.21,177.882,116.31,1312.262,143.599,84.601,2416.887,1024.115,338.085,281.035,1377.648,149.486,267.344,97.841,360.763,2352.938,161.349,585.151,67.654,498.744,475.159,148.114,105.796
1969,92.048,337.392,237.096,201.372,2458.688,264.005,526.587,120.167,145.229,975,520.713,189.117,348.707,105.986,1431.856,711.222,305.265,341.607,888.969,1134.996,465.137,216.033,941.769,498.804,561.709,253.247,129.142,588.191,119.633,182.827,129.844,1373.167,147.273,87.395,2530.434,1052.629,346.176,293.365,1448.78,161.199,278.469,97.763,383.362,2549.765,170.153,660.577,69.763,516.495,490.602,150.607,109.057
1970,96.004,352.17,246.746,213.315,2503.309,273.445,559.057,129.41,154.133,1065.681,553.775,195.419,346.782,105.173,1488.675,731.192,303.057,358.101,904.199,1240.542,528.963,230.986,955.946,512.54,571.738,272.83,126.185,618.425,115.363,192.29,139.891,1440.368,155.889,90.445,2647.098,1071.758,365.33,294.491,1529.139,167.144,300.478,103.801,389.252,2621.4,165.832,745.761,73.901,506.73,510.176,154.54,102.732
1971,109.708,365.107,269.116,221.239,2656.212,287.631,544.425,121.369,154.266,1168.187,596.635,210.416,358.491,107.423,1492.919,769.364,306.414,361.488,926.147,1251.351,587.909,281.806,992.05,527.91,584.95,289.155,133.181,647.374,119.474,195.54,149.136,1418.182,157.219,96.029,2745.178,1072.063,369.852,311.309,1558.38,173.916,313.155,106.597,402.911,2684.253,179.967,812.034,73.673,520.439,513.52,160.847,108.107
1972,117.926,405.288,311.417,261.115,2735.518,311.293,605.106,116.424,174.311,1328.436,653.74,216.597,374.392,114.042,1644.289,823.943,333.254,388.59,1045.837,1307.422,650.963,304.153,1074.922,583.137,612.174,330.92,146.352,708.917,120.19,211.548,153.216,1551.929,173.924,103.146,2847.301,1152.099,395.212,340.303,1650.789,173.51,332.094,111.633,444.488,3009.638,186.459,860.897,77.426,555.945,532.332,170.922,111.513
1973,112.137,450.714,352.902,325.878,3049.728,327.757,627.232,122.451,194.651,1431.89,719.889,222.815,396.191,117.939,1709.539,862.271,353.094,418.119,1197.697,1309.978,695.344,294.354,1122.822,602.695,632.214,370.802,156.544,727.599,120.874,214.261,150.521,1579.104,191.94,110.678,2926.881,1209.37,415,344.114,1655.844,165.883,361.929,110.673,485.96,3311.415,190.476,884.395,78.933,572.839,550.735,178.428,121.937
1974,117.493,476.384,354.366,325.795,2873.991,323.099,574.154,98.379,189.919,1347.211,694.698,210.59,377.526,120.264,1645.96,851.863,354.63,409.483,1264.615,1161.59,671.759,258.7,1082.115,575.7,610.901,379.081,158.441,685.426,117.606,210.201,139.049,1415.346,193.361,109.092,2662.555,1183.382,408.529,318.441,1602.966,147.958,353.876,102.417,470.422,3328.733,199.81,853.531,69.951,539.159,527.288,181.242,124.61
1975,123.133,487.977,341.506,306.795,2978.252,326.66,533.393,75.96,174.573,1378.308,655.879,212.931,374.32,125.543,1624.26,815.134,384.406,416.202,1210.709,1124.696,593.744,222.202,1076.686,556.97,613.436,378.055,154.686,636.711,116.918,208.45,137.503,1269.814,199.708,115.924,2576.04,1200.751,421.937,306.645,1469.701,136.878,337.485,103.575,492.839,3236.113,203.941,824.492,68.994,548.903,524.499,198.331,129.752
