year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District_of_Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North_Carolina,North_Dakota,Nebraska,New_Hampshire,New_Jersey,New_Mexico,Nevada,New_York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West_Virginia,Wyoming
1960,6.8,112.809,48.104,36.181,270.161,16.914,17.406,0.155,4.982,35.68,96.016,0.292,15.884,77.688,33.02,24.556,4.123,50.751,38.992,53.354,38.447,59.784,59.1,34.957,41.442,46.565,69.936,127.507,11.88,13.425,25.629,20.514,7.373,22.11,189.314,36.966,17.766,190.489,66.1,2.951,81.969,13.974,138.708,50.155,5.494,69.706,17.339,428.129,64.968,23.464,8.174
1961,7.313,118.021,51.144,35.083,248.178,15.464,17.076,0.163,5.101,34.417,94.59,0.258,15.713,70.403,32.237,24.199,3.855,48.648,37.174,52.769,35.723,56.575,55.209,32.478,45.068,45.532,76.55,120.692,15.42,12.832,23.327,20.749,6.937,19.545,250.832,36.414,20.187,188.915,61.121,3.011,76.284,13.609,136.653,52.023,4.591,66.456,15.369,455.762,60.619,23.666,8.273
1962,7.453,125.564,47.637,34.533,329.046,17.144,15.937,0.166,5.134,35.826,96.771,0.214,15.58,73.984,32.864,24.089,3.67,51.423,36.785,53.59,36.002,55.672,53.745,34.382,40.239,44.673,74.894,127.402,14.054,12.973,25.119,21.199,6.791,21.733,277.979,36.983,16.66,197.646,61.767,3.139,73.455,17.252,145.125,47.721,6.192,67.678,15.682,476.68,61.695,23.755,11.746
1963,7.793,112.682,41.897,34.861,360.333,17.41,16.253,0.148,5.356,38.613,103.171,0.446,13.403,73.227,34.418,24.007,3.798,47.591,39.147,52.762,35.457,58.874,51.374,32.328,33.299,39.154,70.429,116.481,15.915,13.199,24.45,23.397,6.469,19.804,260.059,38.172,10.64,199.225,60.798,3.221,69.832,31.784,127.03,42.718,5.699,64.267,13.995,514.264,55.114,21.029,10.641
1964,8.102,137.992,42.732,34.271,331.757,17.865,16.703,0.138,5.51,39.016,118.296,1.429,12.798,76.892,34.491,23.168,3.674,47.022,39.291,54.148,37.44,55.936,52.769,33.21,31.229,38.448,79.375,131.745,20.014,12.801,23.707,23.947,6.3,17.842,247.409,38.01,11.373,215.793,60.59,3.533,87.558,33.645,141.564,43.884,10.151,63.58,13.5,557.343,54.98,21.666,10.613
1965,8.519,121.888,46.425,50.095,418.518,16.369,15.5,0.12,5.577,39.916,108.022,1.265,15.16,79.778,35.036,23.06,3.499,47.438,38.299,55.636,39.019,51.675,55.858,34.786,35.404,37.759,95.505,123.608,26.438,13.563,22.019,23.693,6.075,17.544,262.743,38.72,16.23,230.41,61.262,3.561,77.346,41.595,138.006,48.967,11.501,63.439,14.396,581.53,61.69,20.56,10.793
1966,8.328,121.238,51.697,58.06,375.877,17.38,16.243,0.111,5.852,42.76,109.456,1.309,14.994,81.379,37.08,24.315,3.529,49.311,39.754,58.117,42.103,55.812,56.828,35.031,33.01,37.816,90.332,114.335,20.421,13.955,24.343,23.57,6.21,19.632,288.582,41.531,13.064,232.649,63.676,3.771,67.699,51.565,128.629,51.98,10.173,64.055,15.557,617.245,60.892,20.101,11.106
1967,8.457,144.384,46.124,56.423,473.192,16.908,18.072,0.112,5.783,44.55,109.475,1.389,14.243,82.252,37.444,27.363,3.349,61.073,37.685,58.183,49.5,58.337,56.539,32.385,31.558,34.261,98.163,118.616,29.255,13.879,24.089,23.695,5.678,18.985,301.664,39.669,14.604,243.11,68.253,4.15,66.176,52.576,147.297,49.944,13.266,61.774,15.167,678.045,61.003,22.471,9.641
1968,8.486,129.673,64.986,63.456,397.366,17.248,18.657,0.12,6.594,49.556,106.371,1.657,16.244,80.804,40.029,28.677,3.459,53.358,40.791,62.101,47.752,59.84,56.32,33.828,39.086,35.452,100.651,117.146,26.339,14.714,25.155,24.678,5.706,19.142,320.307,43.465,23.406,271.743,62.881,4.266,69.381,59.858,132.02,62.939,12.791,63.863,15.086,736.245,65.83,21.573,11.56
1969,8.455,131.856,64.813,67.84,544.918,18.181,19.701,0.108,7.073,51.489,105.812,1.773,15.25,76.228,41.716,29.971,3.28,51.326,40.698,64.611,45.515,61.658,56.624,34.19,39.601,34.609,106.143,119.495,31.071,14.532,27.816,25.354,5.682,18.771,339.647,44.467,26.94,350.23,61.805,4.428,73.251,67.419,131.914,64.351,13.957,64.159,16.109,772.827,62.804,21.43,12.992
1970,8.835,132.471,56.933,68.919,521.978,21.329,19.293,0.113,7.021,51.035,98.222,1.559,16.08,85.735,41.064,28.494,3.73,57.023,41.62,65.043,51.782,59.42,54.309,32.822,33.344,33.527,98.397,111.796,29.922,15.95,25.321,25.906,5.548,18.322,325.491,44.149,21.73,371.35,67.525,5.268,65.064,70.185,138.417,62.757,10.079,62.711,14.717,796.121,58.313,21.152,12.129
1971,9.094,158.182,53.579,74.136,533.79,25.526,20.206,0.116,7.673,49.968,109.007,1.283,16.122,89.445,40.628,27.156,3.941,61.912,41.912,61.247,49.264,55.423,53.96,33.768,30.407,32.841,107.251,128.148,34.285,15.845,24.733,26.621,4.965,18.651,326.609,43.52,21.321,419.311,60.573,4.851,78.568,82.558,153.09,60.471,12.615,66.364,14.594,817.275,61.793,22.281,15.331
1972,8.673,164.946,53.917,75.189,472.312,22.935,22.712,0.118,8.19,54.389,114.745,1.491,17.235,92.776,41.49,30.826,5.702,66.566,44.819,59.302,56.117,59.882,56.203,35.695,29.355,32.432,104.348,135.756,32.507,16.822,26.131,29.554,4.746,17.274,347.985,44.94,26.724,435.93,70.114,4.934,77.077,78.339,173.103,67.56,15.234,70.488,15.955,854.559,65.646,24.771,13.492
1973,7.844,181.706,81.723,79.348,553.162,23.623,21.87,0.114,8.483,56.25,125.605,1.528,16.691,97.216,43.861,32.102,6.031,67.629,45.748,56.501,55.059,64.648,47.225,36.452,43.807,32.195,84.637,142.789,25.135,16.912,30.671,30.289,4.896,18.356,364.685,46.607,50.756,351.043,70.871,5.108,83.883,51.534,177.886,78.102,14.683,69.214,17.149,783.243,67.818,24.229,14.024
1974,8.329,166.734,81.339,82.058,645.073,24.207,22.509,0.129,8.466,52.429,121.581,1.55,16.976,111.472,43.952,32.017,5.915,66.669,44.928,56.959,52.381,64.263,50.587,35.899,44.031,31.279,106.573,139.607,28.922,16.161,28.694,33.097,4.919,17.762,362.988,48.408,48.83,432.867,72.077,5.023,79.895,60.394,180.418,76.691,12.44,66.085,16.134,926.539,65.621,23.779,16.196
1975,8.608,184.701,71.589,80.897,578.578,24.728,22.237,0.131,7.901,50.007,123.427,1.498,17.029,118.011,42.898,31.342,5.811,66.857,42.358,53.325,55.834,60.423,47.458,36.949,40.414,31.152,112.007,139.828,35.262,15.399,25.853,30.95,6.002,18.827,354.9,46.299,42.644,417.387,73.865,4.05,87.805,83.96,177.299,75.872,14.074,66.861,16.361,935.362,66.067,22.798,13.226
1976,9.201,160.994,62.3,84.428,422.852,23.636,23.862,0.146,9.607,56.507,135.157,1.663,15.187,121.38,47.471,36.021,6.526,68.11,45.17,60.502,56.373,70.099,52.481,35.632,39.537,34.819,135.822,136.973,34.411,16.378,31.05,35.091,6.781,17.457,368.5,52.843,29.303,434.37,81.184,4.704,83.353,74.83,160.069,75.965,14.974,76.045,19.325,1051.188,69.57,24.758,12.547
1977,11.449,174.751,69.746,75.681,338.073,23.658,24.105,0.158,10.161,59.953,136.122,1.355,17.088,85.968,51.314,38.768,6.852,64.14,46.692,63.357,59.569,72.689,54.719,36.725,37.981,36.23,97.331,146.565,21.338,16.136,31.271,38.51,7.328,18.381,342.161,58.582,32.743,327.769,84.322,5.295,80.884,57.133,176.225,82.566,11.709,73.803,19.373,773.465,74.518,24.32,9.937
